RequestID;SubmitTime;Duration;DataProcessed;Submitter;Status;SessionID;DataProcessedGB
55419787;7/21/21, 11:12:38 PM;2 sec;155.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.155
55418466;7/21/21, 11:12:35 PM;2 sec;43.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.043
55417645;7/21/21, 11:12:34 PM;1 sec;20.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.02
55416449;7/21/21, 11:12:32 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55416039;7/21/21, 11:12:31 PM;0 sec;15.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.015
55415672;7/21/21, 11:12:30 PM;1 sec;20.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.02
55415365;7/21/21, 11:12:28 PM;1 sec;31.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.031
55415163;7/21/21, 11:12:27 PM;1 sec;16.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.016
55414698;7/21/21, 11:12:25 PM;1 sec;68.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.068
55414194;7/21/21, 11:12:23 PM;1 sec;39.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.039
55410518;7/21/21, 11:12:11 PM;11 sec;89.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.089
55409994;7/21/21, 11:12:09 PM;2 sec;52.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.052
55409691;7/21/21, 11:12:07 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55409444;7/21/21, 11:12:06 PM;1 sec;65.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.065
55409219;7/21/21, 11:12:05 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55408958;7/21/21, 11:12:03 PM;1 sec;20.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.02
55408738;7/21/21, 11:12:02 PM;1 sec;13.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.013
55408492;7/21/21, 11:12:01 PM;1 sec;80.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.08
55407948;7/21/21, 11:11:57 PM;3 sec;31.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.031
55407593;7/21/21, 11:11:55 PM;1 sec;50.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.05
55407415;7/21/21, 11:11:54 PM;1 sec;41.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.041
55405725;7/21/21, 11:11:51 PM;2 sec;23.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.023
55399540;7/21/21, 11:11:44 PM;7 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55398501;7/21/21, 11:11:42 PM;1 sec;38.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.038
55397952;7/21/21, 11:11:40 PM;1 sec;65.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.065
55397429;7/21/21, 11:11:38 PM;2 sec;25.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.025
55395952;7/21/21, 11:11:37 PM;1 sec;206.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.206
55395653;7/21/21, 11:11:35 PM;1 sec;37.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.037
55394002;7/21/21, 11:11:29 PM;5 sec;34.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.034
55393634;7/21/21, 11:11:26 PM;2 sec;39.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.039
55392474;7/21/21, 11:11:22 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55392802;7/21/21, 11:11:22 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55393323;7/21/21, 11:11:22 PM;4 sec;13.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.013
55393323;7/21/21, 11:11:22 PM;4 sec;13.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.013
55391392;7/21/21, 11:11:19 PM;3 sec;112.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.112
55389455;7/21/21, 11:11:17 PM;1 sec;54.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.054
55388681;7/21/21, 11:11:15 PM;2 sec;43.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.043
55388508;7/21/21, 11:11:14 PM;0 sec;14.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.014
55388338;7/21/21, 11:11:12 PM;1 sec;25.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.025
